TABLE_NAME,FIELD_NAME,FIELD_TYPE,SEMANTIC_ROLE,BUSINESS_MEANING,JOIN_HINT,CONFIDENCE,TRUTH_LEVEL,FILTER_POLICY,JOIN_ROLE
AGENTES,CODIGO,TEXT,IDENTIFIER,Identificador único do agente no sistema,"Referenciado por tabelas que associam ações, vendas ou operações a um agente",0.95,ENRICHMENT,ALLOWED,OPTIONAL
AGENTES,LOTE,TEXT,NAME,"Nome do agente (pessoa, entidade ou ator operacional)",Pode ser utilizado para exibição e análises por agente,0.89,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA,LOTE,TEXT,NAME,"Nome do agente (pessoa, entidade ou ator operacional)",Pode ser utilizado para exibição e análises por agente,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,LOTE,TEXT,BATCH_REFERENCE,Identificador do lote ao qual o registro pertence,Relaciona com ALGAR_ESTEIRA.LOTE,0.95,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,LINHA,TEXT,RECORD_SEQUENCE,Identificador sequencial do registro dentro do lote,Diferencia registros do mesmo lote,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,CPF_CNPJ_AGT,TEXT,AGENT_IDENTIFIER,Identificador fiscal do agente relacionado,Pode relacionar com AGENTES,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,DAT_CRI,TEXT,RECORD_CREATION_DATE,Data de criação do registro da esteira,Análises temporais,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,NOM_MEB,TEXT,AGENT_NAME,Nome do agente ou membro responsável,Análise por agente,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,DSC_PDT,TEXT,PRODUCT_DESCRIPTION,Descrição do produto ou serviço,Agrupamentos analíticos,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,DSC_SGM,TEXT,SEGMENT_CLASSIFICATION,Segmento do produto ou serviço,Análises por segmento,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,NUM_PTL,TEXT,PORTFOLIO_NUMBER,Identificador interno ou de portfólio,Uso operacional,0.70,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,NUM_TEL,TEXT,PHONE_NUMBER,Número de telefone associado,Análises por linha,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,DSC_STA_RSM,TEXT,PROCESS_STATUS,Status resumido do processamento,Controle de fluxo,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,VALOR,DECIMAL,MONETARY_VALUE,Valor monetário associado ao registro,Análises financeiras,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,NUM_SCR_CTT,TEXT,CONTACT_SCORE,Pontuação ou score do contato,Análises de qualidade,0.75,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,TIP_ITL,TEXT,ITEM_TYPE,Tipo do item processado,Classificação operacional,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,CPF_CNPJ_CLI,TEXT,CLIENT_IDENTIFIER,Identificador fiscal do cliente,Pode relacionar com CLIENTES,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,NOM_CLI,TEXT,CLIENT_NAME,Nome do cliente,Relatórios e agrupamentos,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,DSC_BAI,TEXT,NEIGHBORHOOD_NAME,Bairro associado ao cliente,Análise geográfica,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,NOM_LDD,TEXT,REGION_CODE,Código ou nome de região (DDD/LDD),Análise regional,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,HYPER_VENDEDOR,TEXT,HYPER_AGENT_FLAG,Indica vínculo com vendedor Hyper,Indicador lógico,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,HYPER_VENDA,TEXT,HYPER_SALE_FLAG,Indica ocorrência de venda no Hyper,Indicador lógico,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,HYPER_CLIENTE,TEXT,HYPER_CLIENT_FLAG,Indica cliente reconhecido no Hyper,Indicador lógico,0.80,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,HYPER_STATUS,TEXT,HYPER_PROCESS_STATUS,Status do processamento no Hyper,Integrações,0.85,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,ELEGIVEL,TEXT,ELIGIBILITY_FLAG,Indica elegibilidade do registro,Regras posteriores,0.90,ENRICHMENT,ALLOWED,OPTIONAL
ALGAR_ESTEIRA_MOVI,OBSERVACAO,TEXT,FREE_TEXT,Observações livres sobre o registro,Auditoria / leitura humana,0.85,ENRICHMENT,ALLOWED,OPTIONAL
